"InteractionType","InteractionName","term","value","L1"
"Antagonistic","Predation","prey","Predation","45519"
"Antagonistic","Predation","prey","Predation","45523"
"Antagonistic","Predation","prey","Predation","45526"
"Antagonistic","Predation","prey","Predation","45528"
"Antagonistic","Predation","prey","Predation","45529"
"Antagonistic","Predation","prey","Predation","45530"
"Antagonistic","Predation","prey","Predation","45545"
"Antagonistic","Predation","prey","Predation","45546"
"Antagonistic","Predation","prey","Predation","45547"
"Mutualism","Pollination","pollinat","Pollination","45656"
"Mutualism","Pollination","pollinat","Pollination","45658"
"Mutualism","Pollination","pollinat","Pollination","46165"
"Mutualism","Pollination","pollinat","Pollination","46414"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","46699"
"Antagonistic","Predation","prey","Predation","46946"
"Antagonistic","Predation","prey","Predation","46947"
"Antagonistic","Predation","prey","Predation","46948"
"Antagonistic","Predation","prey","Predation","46950"
"Antagonistic","Predation","prey","Predation","46951"
"Antagonistic","Predation","prey","Predation","46952"
"Antagonistic","Predation","prey","Predation","47069"
"Antagonistic","Predation","prey","Predation","47221"
"Mutualism","Pollination","pollinat","Pollination","47296"
"Mutualism","Pollination","pollinat","Pollination","47369"
"Mutualism","Pollination","pollinat","Pollination","47370"
"Mutualism","Pollination","pollinat","Pollination","47382"
"Mutualism","Pollination","pollinat","Pollination","47399"
"Mutualism","Pollination","pollinat","Pollination","47400"
"Mutualism","Pollination","pollinat","Pollination","47402"
"Mutualism","Pollination","pollinat","Pollination","47418"
"Mutualism","Pollination","pollinat","Pollination","47419"
"Mutualism","Pollination","pollinat","Pollination","47448"
"Mutualism","Pollination","pollinat","Pollination","47449"
"Mutualism","Pollination","pollinat","Pollination","47450"
"Mutualism","Pollination","pollinat","Pollination","47451"
"Mutualism","Pollination","pollinat","Pollination","47462"
"Mutualism","Pollination","pollinat","Pollination","47467"
"Mutualism","Pollination","pollinat","Pollination","47468"
"Mutualism","Pollination","pollinat","Pollination","47469"
"Mutualism","Pollination","pollinat","Pollination","47471"
"Mutualism","Pollination","pollinat","Pollination","47489"
"Mutualism","Pollination","pollinat","Pollination","47522"
"Mutualism","Pollination","pollinat","Pollination","47523"
"Mutualism","Pollination","pollinat","Pollination","47524"
"Mutualism","Pollination","pollinat","Pollination","47526"
"Mutualism","Pollination","pollinat","Pollination","47527"
"Mutualism","Pollination","pollinat","Pollination","47528"
"Mutualism","Pollination","pollinat","Pollination","47529"
"Mutualism","Pollination","pollinat","Pollination","47556"
"Mutualism","Pollination","pollinat","Pollination","47559"
"Mutualism","Pollination","pollinat","Pollination","47580"
"Mutualism","Pollination","pollinat","Pollination","47581"
"Mutualism","Pollination","pollinat","Pollination","47593"
"Mutualism","Pollination","pollinat","Pollination","47610"
"Mutualism","Pollination","pollinat","Pollination","47611"
"Mutualism","Pollination","pollinat","Pollination","47613"
"Mutualism","Pollination","pollinat","Pollination","47634"
"Mutualism","Pollination","pollinat","Pollination","47635"
"Mutualism","Pollination","pollinat","Pollination","47636"
"Mutualism","Pollination","pollinat","Pollination","47637"
"Mutualism","Pollination","pollinat","Pollination","47648"
"Mutualism","Pollination","pollinat","Pollination","47653"
"Mutualism","Pollination","pollinat","Pollination","47654"
"Mutualism","Pollination","pollinat","Pollination","47655"
"Mutualism","Pollination","pollinat","Pollination","47657"
"Mutualism","Pollination","pollinat","Pollination","47661"
"Mutualism","Pollination","pollinat","Pollination","47683"
"Mutualism","Pollination","pollinat","Pollination","47716"
"Mutualism","Pollination","pollinat","Pollination","47717"
"Mutualism","Pollination","pollinat","Pollination","47718"
"Mutualism","Pollination","pollinat","Pollination","47720"
"Mutualism","Pollination","pollinat","Pollination","47721"
"Mutualism","Pollination","pollinat","Pollination","47722"
"Mutualism","Pollination","pollinat","Pollination","47723"
"Mutualism","Pollination","pollinat","Pollination","47763"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","47767"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","47768"
"Antagonistic","Predation","prey","Predation","47825"
"Antagonistic","Predation","prey","Predation","47863"
"Antagonistic","Predation","prey","Predation","48134"
"Mutualism","Pollination","pollinat","Pollination","48650"
"Mutualism","Pollination","pollinat","Pollination","49520"
"Mutualism","Pollination","pollinat","Pollination","49524"
"Mutualism","Pollination","pollinat","Pollination","49532"
"Mutualism","Pollination","pollinat","Pollination","49538"
"Antagonistic","Predation","prey","Predation","49671"
"Mutualism","Pollination","pollinat","Pollination","49735"
"Mutualism","Pollination","pollinat","Pollination","50195"
"Mutualism","Pollination","pollinat","Pollination","50231"
"Mutualism","Pollination","pollinat","Pollination","50258"
"Antagonistic","Predation","prey","Predation","50361"
"Antagonistic","Predation","prey","Predation","50362"
"Mutualism","Pollination","pollinat","Pollination","50468"
"Antagonistic","Predation","prey","Predation","50495"
"Mutualism","Pollination","pollinat","Pollination","50522"
"Mutualism","Pollination","pollinat","Pollination","50523"
"Mutualism","Pollination","pollinat","Pollination","50534"
"Mutualism","Pollination","pollinat","Pollination","50549"
"Mutualism","Pollination","pollinat","Pollination","50550"
"Mutualism","Pollination","pollinat","Pollination","50557"
"Mutualism","Pollination","pollinat","Pollination","50558"
"Mutualism","Pollination","pollinat","Pollination","50562"
"Mutualism","Pollination","pollinat","Pollination","50563"
"Mutualism","Pollination","pollinat","Pollination","50572"
"Mutualism","Pollination","pollinat","Pollination","50573"
"Mutualism","Pollination","pollinat","Pollination","50578"
"Mutualism","Pollination","pollinat","Pollination","50579"
"Mutualism","Pollination","pollinat","Pollination","50590"
"Mutualism","Pollination","pollinat","Pollination","50595"
"Mutualism","Pollination","pollinat","Pollination","50596"
"Mutualism","Pollination","pollinat","Pollination","50682"
"Antagonistic","Predation","prey","Predation","50700"
"Antagonistic","Predation","prey","Predation","50705"
"Antagonistic","Predation","prey","Predation","50707"
"Antagonistic","Predation","prey","Predation","50708"
"Mutualism","Pollination","pollinat","Pollination","50910"
"Mutualism","Pollination","pollinat","Pollination","50940"
"Mutualism","Pollination","pollinat","Pollination","50941"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","50943"
"Mutualism","Pollination","pollinat","Pollination","50957"
"Mutualism","Pollination","pollinat","Pollination","50973"
"Mutualism","Pollination","pollinat","Pollination","50974"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","50986"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","50987"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","50988"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","50992"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","50999"
"Mutualism","Pollination","pollinat","Pollination","51358"
"Mutualism","Pollination","pollinat","Pollination","51359"
"Mutualism","Pollination","pollinat","Pollination","51364"
"Mutualism","Pollination","pollinat","Pollination","51385"
"Mutualism","Pollination","pollinat","Pollination","51403"
"Mutualism","Pollination","pollinat","Pollination","51404"
"Mutualism","Pollination","pollinat","Pollination","51415"
"Mutualism","Pollination","pollinat","Pollination","51433"
"Mutualism","Pollination","pollinat","Pollination","51464"
"Mutualism","Pollination","pollinat","Pollination","51465"
"Mutualism","Pollination","pollinat","Pollination","51466"
"Mutualism","Pollination","pollinat","Pollination","51467"
"Mutualism","Pollination","pollinat","Pollination","51468"
"Mutualism","Pollination","pollinat","Pollination","51469"
"Mutualism","Pollination","pollinat","Pollination","51470"
"Mutualism","Pollination","pollinat","Pollination","51494"
"Mutualism","Pollination","pollinat","Pollination","51495"
"Mutualism","Pollination","pollinat","Pollination","51496"
"Antagonistic","Predation","prey","Predation","51588"
"Antagonistic","Predation","prey","Predation","51589"
"Antagonistic","Predation","prey","Predation","51605"
"Antagonistic","Predation","prey","Predation","51606"
"Mutualism","Pollination","pollinat","Pollination","52031"
"Mutualism","Pollination","pollinat","Pollination","52033"
"Mutualism","Pollination","pollinat","Pollination","52043"
"Mutualism","Pollination","pollinat","Pollination","52045"
"Mutualism","Pollination","pollinat","Pollination","52047"
"Mutualism","Pollination","pollinat","Pollination","52374"
"Antagonistic","Predation","prey","Predation","52383"
"Mutualism","Pollination","pollinat","Pollination","52385"
"Mutualism","Pollination","pollinat","Pollination","52386"
"Mutualism","Pollination","pollinat","Pollination","52391"
"Mutualism","Pollination","pollinat","Pollination","52397"
"Antagonistic","Predation","prey","Predation","52550"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","52833"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","52834"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","52875"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","52876"
"Antagonistic","Predation","prey","Predation","53492"
"Antagonistic","Predation","prey","Predation","53528"
"Antagonistic","Predation","prey","Predation","53529"
"Antagonistic","Predation","prey","Predation","53530"
"Mutualism","Pollination","pollinat","Pollination","53634"
"Mutualism","Pollination","pollinat","Pollination","53635"
"Mutualism","Pollination","pollinat","Pollination","53653"
"Mutualism","Pollination","pollinat","Pollination","53707"
"Mutualism","Pollination","pollinat","Pollination","53735"
"Mutualism","Pollination","pollinat","Pollination","53751"
"Mutualism","Pollination","pollinat","Pollination","53785"
"Mutualism","Pollination","pollinat","Pollination","53799"
"Mutualism","Pollination","pollinat","Pollination","53804"
"Mutualism","Pollination","pollinat","Pollination","53832"
"Antagonistic","Predation","prey","Predation","54151"
"Antagonistic","Predation","prey","Predation","54311"
"Antagonistic","Predation","prey","Predation","54554"
"Antagonistic","Predation","prey","Predation","54562"
"Mutualism","Pollination","pollinat","Pollination","54572"
"Antagonistic","Predation","prey","Predation","54623"
"Antagonistic","Predation","prey","Predation","54624"
"Antagonistic","Predation","prey","Predation","54625"
"Antagonistic","Predation","prey","Predation","54626"
"Antagonistic","Predation","prey","Predation","54627"
"Antagonistic","Predation","prey","Predation","54628"
"Antagonistic","Predation","prey","Predation","54635"
"Antagonistic","Predation","prey","Predation","54636"
"Mutualism","Pollination","pollinat","Pollination","54651"
